,cid,iupacname
1119,266778.png,3-(4-nitrosophenyl)prop-2-enoic acid
1120,274996.png,2-(4-chloro-N-nitrosoanilino)acetic acid
1121,275000.png,2-(4-methyl-N-nitrosoanilino)acetic acid
1122,275656.png,"3-(2-oxo-1,3-thiazolidin-3-yl)propanoic acid"
1123,275664.png,"3-(2-sulfanylidene-1,3-thiazinan-3-yl)propanoic acid"
1124,275681.png,2-(4-chlorophenyl)sulfinylacetic acid
1125,277285.png,2-(4-hydroxyphenyl)sulfanylacetic acid
1126,277672.png,3-(4-fluorophenyl)-3-oxopropanoic acid
1127,277673.png,"3-(3,4-dichlorophenyl)-3-oxopropanoic acid"
1128,277674.png,3-(4-chlorophenyl)-3-oxopropanoic acid
1129,279983.png,4-(4-hydroxyphenyl)butanoic acid
1130,283763.png,"4,5,8-trimethyl-1,2,3,4-tetrahydronaphthalene-2-carboxylic acid"
1131,284156.png,3-phenyl-2-sulfanylprop-2-enoic acid
1132,285112.png,3-(4-amino-2-methylphenyl)prop-2-enoic acid
1133,287348.png,3-cyclohexylprop-2-enoic acid
1134,287543.png,"3-(2-methyl-1,3,5-trithian-2-yl)propanoic acid"
1135,288086.png,3-(2-oxopyridin-1-yl)propanoic acid
1136,288532.png,3-(6-methyl-4-oxopyran-2-yl)-2-oxopropanoic acid
1137,288637.png,2-(4-chlorocyclohexyl)oxyacetic acid
1138,290449.png,"3-(3-methyl-2,6-dioxopyrimidin-4-yl)-2-oxopropanoic acid"
1139,291570.png,3-(1-methoxy-6-oxopyridin-2-yl)-2-oxopropanoic acid
1140,291985.png,3-(4-ethoxyphenyl)propanoic acid
1141,295630.png,2-methoxy-3-(4-methoxyphenyl)prop-2-enoic acid
1142,298482.png,"4-(2,5-dimethylthiophen-3-yl)butanoic acid"
1143,299996.png,3-(4-methoxy-6-oxopyran-2-yl)-2-oxopropanoic acid
1144,301541.png,2-(4-bromophenyl)cyclopropane-1-carboxylic acid
1145,302507.png,"2-(2,4-dimethylphenyl)-2-hydroxyacetic acid"
1146,302828.png,"2-(2,4-dimethylphenoxy)propanoic acid"
1147,302883.png,"2-(4-chloro-2,5-difluorophenoxy)acetic acid"
1148,302912.png,2-(5-bromopyridin-2-yl)oxyacetic acid
1149,302914.png,2-(5-fluoropyridin-2-yl)oxyacetic acid
1150,302921.png,2-(4-chloropyridin-2-yl)oxyacetic acid
1151,303044.png,"2-(4,5-dimethylthiophen-2-yl)sulfanylacetic acid"
1152,303740.png,"2-(2,4,5-trichlorophenyl)sulfanylacetic acid"
1153,314012.png,2-cyano-3-(4-methylphenyl)prop-2-enoic acid
1154,316638.png,3-(cyclohexen-1-yl)prop-2-enoic acid
1155,344140.png,4-(4-hydroxyphenyl)-4-oxobut-2-enoic acid
1156,344730.png,2-chloro-3-phenylpropanoic acid
1157,344895.png,2-methoxy-2-phenylpropanoic acid
1158,347123.png,"2,3-dichloro-3-(4-chlorophenyl)propanoic acid"
1159,347970.png,"2-(2,4-dimethylphenyl)sulfanylacetic acid"
1160,349189.png,3-(4-hydroxycyclohexyl)propanoic acid
1161,350262.png,"2-[(2-amino-1,3-thiazol-5-yl)sulfanyl]acetic acid"
1162,351733.png,"2-(2,4,6-trimethylphenoxy)propanoic acid"
1163,352006.png,2-[(4-chlorophenyl)methoxy]acetic acid
1164,366803.png,4-(5-methylthiophen-2-yl)-2-oxobutanoic acid
1165,367936.png,2-cyano-3-(4-fluorophenyl)prop-2-enoic acid
1166,367964.png,3-(4-fluorophenyl)-2-methylprop-2-enoic acid
1167,394779.png,3-pyridin-1-ium-1-ylpropanoic acid
1168,410307.png,3-methyl-3-phenyloxirane-2-carboxylic acid
1169,410498.png,4-(2-carboxyethyl)benzenediazonium
1170,415606.png,3-phenyloxirane-2-carboxylic acid
1171,416964.png,2-(3-chlorophenyl)-2-methoxyacetic acid
1172,439435.png,"3-(3,4-dihydroxyphenyl)-2-hydroxypropanoic acid"
1173,439940.png,(2S)-2-hydroxy-2-(4-hydroxyphenyl)acetic acid
1174,440177.png,(2R)-2-hydroxy-3-(4-hydroxyphenyl)propanoic acid
1175,440184.png,3-(4-hydroxy-3-iodophenyl)-2-oxopropanoic acid
1176,440283.png,"3-(3,5-dibromo-4-hydroxyphenyl)-2-oxopropanoic acid"
1177,440297.png,"3-(3,5-dichloro-4-hydroxyphenyl)-2-oxopropanoic acid"
1178,440311.png,3-amino-3-(4-hydroxyphenyl)propanoic acid
1179,440639.png,(2R)-2-hydroxy-2-(4-hydroxyphenyl)acetic acid
1180,440642.png,2-hydroxy-3-(4-hydroxyphenyl)prop-2-enoic acid
1181,441116.png,"3,3-dichloro-2-(4-chlorophenyl)prop-2-enoic acid"
1182,443850.png,3-[4-hydroxy-3-(3-methylbut-2-enyl)phenyl]-2-oxopropanoic acid
1183,444306.png,(2S)-3-(4-iodophenyl)-2-sulfanylpropanoic acid
1184,444783.png,(E)-2-hydroxy-3-(4-hydroxyphenyl)prop-2-enoic acid
1185,445939.png,(E)-2-fluoro-3-(4-hydroxyphenyl)prop-2-enoic acid
1186,446611.png,"(E)-3-(2,4-dihydroxyphenyl)prop-2-enoic acid"
1187,447149.png,2-fluoro-3-(4-hydroxyphenyl)propanoic acid
1188,450599.png,(2S)-2-amino-3-(2-(18F)fluoranyl-4-hydroxyphenyl)-2-methylpropanoic acid
1189,451459.png,[hydroxy(phenoxy)phosphoryl]formic acid
1190,451460.png,[hydroxy-(4-methylphenoxy)phosphoryl]formic acid
1191,512089.png,(4-methylphenoxy)carbonylphosphonic acid
1192,512090.png,(4-chlorophenoxy)carbonylphosphonic acid
1193,512091.png,"(3,4-dichlorophenoxy)carbonylphosphonic acid"
1194,514148.png,2-[hydroxy(phenyl)phosphoryl]acetic acid
1195,517784.png,"3-(2,6-difluorophenyl)prop-2-enoic acid"
1196,517980.png,"3-(2,5-difluorophenyl)prop-2-enoic acid"
1197,518900.png,methyl 2-(4-hydroxyphenyl)acetate
1198,522435.png,"3-(2,3,4,5,6-pentafluorophenyl)prop-2-enoic acid"
1199,522810.png,"3-(3,5-difluorophenyl)prop-2-enoic acid"
1200,542654.png,"2-(2,4,6-trichlorophenyl)sulfanylacetic acid"
1201,543150.png,3-cyclohex-3-en-1-ylprop-2-enoic acid
1202,561340.png,2-oxo-2-phenylmethoxyacetic acid
1203,565016.png,3-cyclohex-3-en-1-ylpropanoic acid
1204,572414.png,2-[(4-hydroxyphenyl)methyl]pent-4-enoic acid
1205,573193.png,3-(4-fluorophenyl)-2-oxopropanoic acid
1206,577791.png,4-(3-hydroxyphenyl)butanoic acid
1207,578473.png,3-(4-methoxyphenyl)-2-oxopropanoic acid
1208,579784.png,3-(4-sulfanylphenyl)propanoic acid
1209,580535.png,3-(4-chlorophenyl)-2-oxopropanoic acid
1210,581815.png,"3-(5-amino-1,3,4-thiadiazol-2-yl)propanoic acid"
1211,589934.png,"3-(3,4-dimethylphenyl)-3-methylbutanoic acid"
1212,592073.png,3-(4-hydroxy-2-nitrophenyl)propanoic acid
1213,593297.png,2-naphthalen-1-yl-2-oxoacetic acid
1214,598758.png,3-(4-bromophenyl)-2-oxopropanoic acid
1215,602302.png,"3-(2,6,6-trimethylcyclohexen-1-yl)propanoic acid"
1216,602776.png,2-chloro-3-phenylprop-2-enoic acid
1217,603502.png,"3-(2,4-difluorophenyl)prop-2-enoic acid"
1218,605987.png,5-methyl-1-benzothiophene-2-carboxylic acid
1219,609831.png,"3,5-dimethyl-1-benzothiophene-2-carboxylic acid"
1220,622179.png,"3-(3,5-dibromo-4-hydroxyphenyl)propanoic acid"
1221,623651.png,"2,3-difluoro-3-(2,3,4,5,6-pentafluorophenyl)prop-2-enoic acid"
1222,636708.png,(Z)-2-hydroxy-3-(4-hydroxyphenyl)prop-2-enoic acid
1223,637541.png,(E)-3-(3-hydroxyphenyl)prop-2-enoic acid
1224,637542.png,(E)-3-(4-hydroxyphenyl)prop-2-enoic acid
1225,637797.png,(E)-3-(4-chlorophenyl)prop-2-enoic acid
1226,638437.png,4-[(E)-2-nitroethenyl]phenol
1227,641302.png,(2S)-3-(4-fluorophenyl)-2-hydroxypropanoic acid
1228,641303.png,"1,3-bis(4-hydroxyphenyl)propan-2-one"
1229,641304.png,(3S)-3-(4-methylphenyl)butanoic acid
1230,643325.png,(2S)-2-methoxy-2-phenylacetic acid
1231,643326.png,(2R)-2-phenoxypropanoic acid
1232,643330.png,(2S)-2-amino-3-(3-fluoro-4-hydroxyphenyl)propanoic acid
1233,688026.png,"(E)-3-(2,4-dichlorophenyl)prop-2-enoic acid"
1234,688313.png,3-(4-bromo-2-fluorophenyl)prop-2-enoic acid
1235,688314.png,(E)-3-(4-bromo-2-fluorophenyl)prop-2-enoic acid
1236,688321.png,(E)-3-(2-bromophenyl)prop-2-enoic acid
1237,688348.png,(2S)-2-(4-bromophenyl)-2-hydroxyacetic acid
1238,700642.png,(E)-3-(2-chlorophenyl)prop-2-enoic acid
1239,703169.png,3-thiophen-2-ylpropanoic acid
1240,708627.png,(E)-3-(4-chlorophenyl)-2-sulfanylprop-2-enoic acid
1241,708630.png,(Z)-3-(4-chlorophenyl)-2-sulfanylprop-2-enoic acid
1242,708631.png,(E)-3-(2-chlorophenyl)-2-sulfanylprop-2-enoic acid
1243,708632.png,(Z)-3-(2-chlorophenyl)-2-sulfanylprop-2-enoic acid
1244,710411.png,(E)-2-cyano-3-thiophen-2-ylprop-2-enoic acid
1245,731762.png,"(E)-3-(2,6-dichlorophenyl)prop-2-enoic acid"
1246,731767.png,(E)-3-(4-methylphenyl)prop-2-enoic acid
1247,735250.png,(E)-3-(3-chlorophenyl)prop-2-enoic acid
1248,735833.png,(E)-3-(2-fluorophenyl)prop-2-enoic acid
1249,735981.png,(E)-3-thiophen-2-ylprop-2-enoic acid
1250,736061.png,(2R)-2-(2-chlorophenoxy)propanoic acid
1251,736062.png,(2S)-2-(3-chlorophenoxy)propanoic acid
1252,736071.png,(2R)-2-(4-chlorophenoxy)propanoic acid
1253,736072.png,(2S)-2-(4-chlorophenoxy)propanoic acid
1254,736103.png,"1-(2,4-dichlorophenyl)cyclopropane-1-carboxylic acid"
1255,736197.png,2-(4-fluorophenyl)sulfanylacetic acid
1256,736349.png,"2-(2-chloro-4,6-dimethylphenoxy)acetic acid"
1257,749407.png,"(E)-3-(2,3,5,6-tetrafluoro-4-methoxyphenyl)prop-2-enoic acid"
1258,759391.png,3-[(1S)-2-oxocyclohexyl]propanoic acid
1259,771699.png,2-[(4-chlorophenyl)-hydroxyphosphoryl]acetic acid
1260,778516.png,"(1R,2S)-2-phenylcyclopropane-1-carboxylic acid"
1261,778517.png,"(1S,2S)-2-phenylcyclopropane-1-carboxylic acid"
1262,785083.png,(2S)-2-(4-chlorophenyl)-2-hydroxyacetic acid
1263,787919.png,(E)-3-(5-ethylthiophen-2-yl)prop-2-enoic acid
1264,791497.png,"3-(2,4-dimethoxy-6-methylpyrimidin-5-yl)prop-2-enoic acid"
1265,816723.png,(Z)-3-(4-hydroxyphenyl)-2-phenylprop-2-enoic acid
1266,818913.png,3-(5-chlorothiophen-3-yl)prop-2-enoic acid
1267,818914.png,(E)-3-(5-chlorothiophen-3-yl)prop-2-enoic acid
1268,819020.png,(E)-3-(2-methylphenyl)prop-2-enoic acid
1269,819082.png,2-(5-methylthiophen-3-yl)sulfanylacetic acid
1270,819292.png,"2-(3,5-difluorophenoxy)acetic acid"
1271,819305.png,"3-(3,5-dichlorophenyl)propanoic acid"
1272,824427.png,2-(2-methylphenyl)sulfanylacetic acid
1273,852992.png,(3R)-3-phenylbutanoic acid
1274,853573.png,"2-(2,4,6-trimethylphenoxy)acetic acid"
1275,901371.png,"5-chlorothieno[3,2-b]thiophene-2-carboxylic acid"
1276,901420.png,"5-fluorothieno[3,2-b]thiophene-2-carboxylic acid"
1277,901435.png,"2-methylthieno[3,2-b]thiophene-5-carboxylic acid"
1278,901438.png,5-chloro-1-benzothiophene-2-carboxylic acid
1279,901439.png,5-fluoro-1-benzothiophene-2-carboxylic acid
1280,902026.png,2-(2-chloropyridin-3-yl)sulfanylacetic acid
1281,908713.png,(2S)-2-amino-3-(4-hydroxy-2-methylphenyl)propanoic acid
1282,919716.png,(E)-4-(4-hydroxyphenyl)-4-oxobut-2-enoic acid
1283,929137.png,(3S)-3-(4-hydroxyphenyl)butanoic acid
1284,929138.png,(3R)-3-(4-hydroxyphenyl)butanoic acid
1285,932007.png,5-methyl-1-benzofuran-2-carboxylic acid
1286,937838.png,5-chloro-1-benzofuran-2-carboxylic acid
1287,959193.png,(2R)-2-bromo-3-(4-fluorophenyl)propanoic acid
1288,1090064.png,3-(4-methylpiperidin-1-yl)propanoic acid
1289,1132963.png,3-(6-methylpyridin-2-yl)propanoic acid
1290,1201021.png,2-(5-chloropyridin-2-yl)oxyacetic acid
1291,1202283.png,"2-(2,3,5,6-tetrafluorophenoxy)acetic acid"
1292,1485238.png,(E)-3-(3-methylthiophen-2-yl)prop-2-enoic acid
1293,1512589.png,"(2S)-3-(4-hydroxy-2,6-dimethylphenyl)-2-methylpropanoic acid"
1294,1529858.png,(E)-3-(1-methylpyrazol-4-yl)prop-2-enoic acid
1295,1530234.png,(E)-3-(4-fluorophenyl)prop-2-enoic acid
1296,1531433.png,(2R)-2-(4-methylphenoxy)propanoic acid
1297,1531616.png,(3R)-3-cyano-3-phenylpropanoic acid
1298,1545717.png,2-(3-fluorophenoxy)acetic acid
1299,1547667.png,(E)-3-phenylsulfanylprop-2-enoic acid
1300,1549106.png,(Z)-3-(4-hydroxyphenyl)prop-2-enoic acid
1301,1549514.png,(E)-3-(4-aminophenyl)prop-2-enoic acid
1302,1550170.png,(E)-2-cyano-3-(4-fluorophenyl)prop-2-enoic acid
1303,1550374.png,(Z)-3-(4-methylphenyl)prop-2-enoic acid
1304,1550746.png,(E)-3-(4-hydroxyphenyl)-2-phenylprop-2-enoic acid
1305,1551219.png,(E)-3-(3-fluorophenyl)prop-2-enoic acid
1306,1554741.png,(Z)-3-(3-chloro-4-hydroxy-5-methoxyphenyl)prop-2-enoic acid
1307,1554743.png,(E)-3-(3-chloro-4-hydroxy-5-methoxyphenyl)prop-2-enoic acid
1308,1558661.png,(E)-2-cyano-3-(4-methylphenyl)prop-2-enoic acid
1309,1579606.png,(Z)-3-(3-chlorophenyl)prop-2-enoic acid
1310,1580631.png,(Z)-4-(4-fluorophenyl)-4-oxobut-2-enoic acid
1311,1581110.png,(Z)-3-(4-chlorophenyl)prop-2-enoic acid
1312,1712015.png,(Z)-3-(3-bromophenyl)prop-2-enoic acid
1313,1796494.png,"(E)-3-(2,3,4,5,6-pentafluorophenyl)prop-2-enoic acid"
1314,1810591.png,"2-(2,6-dichlorophenyl)sulfanylacetic acid"
1315,1810716.png,3-(4-methylphenyl)-2-oxopropanoic acid
1316,1916890.png,(Z)-4-(4-hydroxyphenyl)-4-oxobut-2-enoic acid
1317,1987861.png,3-(4-methoxyphenyl)-2-oxopropanoate
1318,2049776.png,3-(4-chlorophenyl)-2-oxopropanoate
1319,2049777.png,3-(furan-2-yl)-2-oxopropanoate
1320,2049780.png,2-oxo-3-thiophen-2-ylpropanoic acid
1321,2059999.png,(E)-3-(5-bromothiophen-2-yl)prop-2-enoic acid
1322,2060001.png,(E)-3-(5-methylthiophen-2-yl)prop-2-enoic acid
1323,2063448.png,(E)-3-(3-methylphenyl)prop-2-enoic acid
1324,2063720.png,"(E)-3-(2,3-dichlorophenyl)prop-2-enoic acid"
1325,2063865.png,3-(2-fluorophenyl)propanoate
1326,2063866.png,3-(2-fluorophenyl)propanoic acid
1327,2193669.png,(Z)-4-(4-hydroxy-3-methoxyphenyl)-3-nitrobut-3-en-2-one
1328,2302943.png,(Z)-3-(4-aminophenyl)prop-2-enoic acid
1329,2303937.png,2-(4-bromo-2-methylphenyl)sulfanylacetic acid
1330,2305480.png,2-(4-methylanilino)-2-oxoacetic acid
1331,2342093.png,"2-[(5-amino-1,3,4-thiadiazol-2-yl)sulfanyl]acetic acid"
1332,2345085.png,2-(2-bromophenyl)sulfanylacetic acid
1333,2345466.png,2-(2-bromo-5-methylphenyl)sulfanylacetic acid
1334,2363775.png,(E)-3-(4-chlorophenyl)-2-cyanoprop-2-enoate
1335,2363776.png,(E)-3-(4-chlorophenyl)-2-cyanoprop-2-enoic acid
1336,2424049.png,"2-(4-chloro-2,6-dimethylphenoxy)acetic acid"
1337,2543257.png,3-(4-bromo-3-chlorophenyl)propanoic acid
1338,2724911.png,3-(4-chloro-2-fluorophenyl)prop-2-enoic acid
1339,2725065.png,3-(2-chloro-4-fluorophenyl)prop-2-enoic acid
1340,2733299.png,"(E)-3-(2,5-difluorophenyl)prop-2-enoic acid"
1341,2733954.png,6-aminonaphthalene-2-carboxylic acid
1342,2734762.png,"3-(2,3-dichlorophenyl)prop-2-enoic acid"
1343,2734785.png,3-(2-chloro-6-fluorophenyl)prop-2-enoic acid
1344,2735406.png,3-(3-aminophenyl)propanoic acid
1345,2735609.png,3-(4-bromophenyl)propanoic acid
1346,2736435.png,ethyl 3-(4-hydroxyphenyl)propanoate
1347,2736961.png,"3-(2,3-difluorophenyl)prop-2-enoic acid"
1348,2737489.png,3-(3-fluorophenyl)propanoic acid
1349,2737583.png,3-[4-fluoro-2-(trifluoromethyl)phenyl]prop-2-enoic acid
1350,2740386.png,2-(2-fluorophenyl)sulfanylacetic acid
1351,2740915.png,"3-(2,4-dichlorophenyl)propanoic acid"
1352,2753354.png,3-(4-methylpyridin-3-yl)prop-2-enoic acid
1353,2755075.png,3-(4-hydroxy-2-methoxyphenyl)propanoic acid
1354,2757364.png,2-(4-carbamoylpiperazin-1-yl)-2-oxoacetic acid
1355,2757870.png,2-(4-chlorophenyl)sulfanylpropanoic acid
1356,2757915.png,3-(4-chlorosulfonylphenyl)propanoic acid
1357,2758192.png,"3-(2,6-dichlorophenyl)propanoic acid"
1358,2761768.png,(3R)-3-amino-3-(4-hydroxyphenyl)propanoic acid
1359,2773556.png,"3-(2-chloro-3,6-difluorophenyl)prop-2-enoic acid"
1360,2773558.png,"3-(3-chloro-2,6-difluorophenyl)prop-2-enoic acid"
1361,2773642.png,3-(3-chloro-2-fluorophenyl)prop-2-enoic acid
1362,2773828.png,"3-(4-chlorophenyl)-3,3-difluoro-2-hydroxypropanoic acid"
1363,2774095.png,"3,3-difluoro-3-(4-fluorophenyl)-2-hydroxypropanoic acid"
1364,2774098.png,"3,3-difluoro-2-hydroxy-3-phenylpropanoic acid"
1365,2774215.png,"3,3-difluoro-2-oxo-3-phenylpropanoic acid"
1366,2777091.png,"3-(2,3,4-trifluorophenyl)prop-2-enoic acid"
1367,2777093.png,"3-(2,3,5-trifluorophenyl)prop-2-enoic acid"
1368,2777096.png,"3-(2,3,6-trifluorophenyl)prop-2-enoic acid"
1369,2777098.png,"3-(2,4,5-trifluorophenyl)prop-2-enoic acid"
1370,2777683.png,3-[3-(trifluoromethyl)phenyl]propanoic acid
1371,2778994.png,"3-(3,4-difluorophenyl)propanoic acid"
1372,2781730.png,3-[2-chloro-4-(trifluoromethyl)phenyl]prop-2-enoic acid
1373,2784750.png,3-(5-fluoropyridin-3-yl)prop-2-enoic acid
1374,2794614.png,5-chloro-3-methyl-1-benzothiophene-2-carboxylic acid
1375,2797727.png,"3-(2,5-dimethylthiophen-3-yl)prop-2-enoic acid"
1376,2798431.png,3-(3-chlorothiophen-2-yl)prop-2-enoic acid
1377,2801045.png,2-(2-chloro-4-fluorophenyl)sulfanylacetic acid
1378,2801116.png,2-(3-chloro-2-methylphenyl)sulfanylacetic acid
1379,2828993.png,"2-(3,4-dichlorophenyl)sulfanylacetic acid"
1380,2925487.png,2-(5-chloro-2-methylanilino)-2-oxoacetic acid
1381,2998482.png,"3-(4-methyl-2-oxo-1,3-thiazol-3-yl)propanoic acid"
1382,3003821.png,3-(2-amino-6-methyl-4-sulfanylidene-1H-pyrimidin-5-yl)propanoic acid
1383,3016033.png,"3-cyclohexa-1,4-dien-1-ylprop-2-enoic acid"
1384,3016844.png,3-(4-hydroxy-3-iodophenyl)propanoic acid
1385,3017967.png,3-(3-fluoro-4-hydroxyphenyl)propanoic acid
1386,3018250.png,"2-(2,4-dichloro-5-methylphenyl)sulfanylacetic acid"
1387,3023024.png,2-(2-fluorophenyl)-3-oxobutanoic acid
1388,3055455.png,"2-methyl-2-(2,3,5,6-tetramethylphenyl)sulfanylpropanoic acid"
1389,3131824.png,"3-(3,5-dimethylpyrazol-1-yl)propanoic acid"
1390,3145856.png,2-(3-chloro-4-methylanilino)-2-oxoacetic acid
1391,3152424.png,"2-[(5-methyl-1,3,4-oxadiazol-2-yl)sulfanyl]acetic acid"
1392,3157816.png,"3-(1,3,5-trimethylpyrazol-4-yl)propanoic acid"
1393,3159017.png,"3-(3,5-dimethylpyrazol-1-yl)butanoic acid"
1394,3159308.png,"3-(4-chloro-3,5-dimethylpyrazol-1-yl)butanoic acid"
1395,3159839.png,"3-(2-amino-4,6-dimethylpyrimidin-5-yl)propanoic acid"
1396,3160220.png,"3-(3,4,5-trimethylpyrazol-1-yl)butanoic acid"
1397,3161245.png,"5,6,7,8-tetrahydro-4H-cyclohepta[b]thiophene-2-carboxylic acid"
1398,3163249.png,3-(azepan-1-yl)propanoic acid
1399,3164838.png,"4-(4-hydroxy-3,5-dimethylphenyl)-4-oxobutanoic acid"
1400,3164940.png,"2-(3,5-dimethylphenoxy)propanoic acid"
1401,3246281.png,(2S)-2-(4-fluorophenyl)-2-hydroxyacetic acid
1402,3262454.png,2-hydroxy-2-methyl-3-phenylpropanoic acid
1403,3307413.png,"2-(4-hydroxyphenyl)cyclohexa-2,5-diene-1,4-dione"
1404,3354333.png,"2,2-dimethyl-3-(4-sulfanylphenyl)propanoic acid"
1405,3359493.png,"3-(2,4-dihydroxyphenyl)prop-2-enoic acid"
1406,3362155.png,2-(3-methylanilino)-2-oxoacetic acid
1407,3388301.png,"2-(2,4-dichlorophenoxy)acetate"
1408,3451348.png,"3-(4-hydroxy-2,6-dimethylphenyl)-2-methylpropanoic acid"
1409,3503171.png,3-(3-chloro-4-fluorophenyl)propanoic acid
1410,3565592.png,3-(5-bromothiophen-2-yl)prop-2-enoic acid
1411,3588736.png,3-[4-(trifluoromethyl)phenyl]propanoic acid
1412,3641939.png,3-(4-propylphenyl)propanoic acid
1413,3669498.png,"3-(3,5-difluorophenyl)propanoic acid"
1414,3681935.png,"2-(4-bromo-2,5-dimethylphenyl)sulfanylacetic acid"
1415,3684130.png,2-methyl-3-(4-methylphenyl)prop-2-enoic acid
1416,3690584.png,(4-hydroxyphenyl) 3-oxobutanoate
1417,3698710.png,3-(4-chlorophenyl)-2-sulfanylidenepropanoic acid
1418,3699843.png,"2-[(5-amino-1H-1,2,4-triazol-3-yl)sulfanyl]acetic acid"
1419,3712124.png,"3-amino-3-(3,4-dihydroxyphenyl)propanoic acid"
1420,3777420.png,2-anilino-2-sulfanylideneacetic acid
1421,3782185.png,3-(3-chloro-5-fluorophenyl)propanoic acid
1422,3789196.png,"2-[(5-amino-1,3,4-thiadiazol-2-yl)amino]-2-oxoacetic acid"
1423,3794534.png,2-(4-chlorophenoxy)acetate
1424,3799336.png,"3-(2,3-difluorophenyl)propanoic acid"
1425,3801021.png,3-(4-propan-2-ylphenyl)propanoic acid
1426,3801098.png,3-(4-methylsulfanylphenyl)propanoic acid
1427,3826083.png,3-phenylpropanoyloxidanium
1428,3865578.png,2-(4-chloro-2-methylphenoxy)acetate
1429,3870217.png,"3-(2,4-dimethylphenyl)propanoic acid"
1430,3870218.png,"3-(3,4-dimethylphenyl)propanoic acid"
1431,3870495.png,"6-methyl-4,5,6,7-tetrahydro-1-benzothiophene-2-carboxylic acid"
1432,3887015.png,"3-(3,5-dimethyl-6-oxo-2-sulfanylidenepyrimidin-4-yl)-2-oxopropanoic acid"
1433,3920069.png,3-phenylprop-2-enoate
1434,4046967.png,3-cyano-3-(4-hydroxyphenyl)prop-2-enoic acid
1435,4113576.png,3-thiophen-2-ylprop-2-enoate
1436,4123047.png,2-phenylsulfanylacetate
1437,4145719.png,"2-(6-hydroxy-3-oxoimidazo[2,1-b][1,3]thiazol-2-yl)acetic acid"
1438,4160723.png,2-(4-chlorophenyl)sulfonylacetate
1439,4189498.png,4-(2-hydroxyphenyl)butanoic acid
1440,4207848.png,"2-(2,5-dimethylphenoxy)propanoic acid"
1441,4271586.png,"2-(4-chloro-2,3,5,6-tetrafluorophenoxy)acetic acid"
1442,4300518.png,2-azaniumyl-3-(4-hydroxyphenyl)propanoate
1443,4318783.png,"2,2,3,3-tetrafluoro-3-(2,2,3,3,4,4,5,5-octafluoropyrrolidin-1-yl)propanoate"
1444,4357428.png,3-azaniumyl-3-(4-hydroxyphenyl)propanoate
1445,4369492.png,2-(4-chloro-2-methoxycarbonylanilino)-2-oxoacetic acid
1446,4380508.png,"3-(2,4-dichlorophenyl)-2-methylprop-2-enoic acid"
1447,4413805.png,2-(4-chloro-2-methylphenoxy)propanoate
1448,4420060.png,4-chloro-N-methyl-N-nitrobenzamide
1449,4427763.png,"3-(2,5-dichlorothiophen-3-yl)-2-methylprop-2-enoic acid"
1450,4439280.png,3-(4-methoxy-2-methylphenyl)propanoic acid
1451,4465833.png,3-phenylprop-2-ynoate
1452,4478048.png,2-(hydroxyamino)-3-(4-hydroxyphenyl)propanoic acid
1453,4478703.png,3-(3-methylphenyl)-2-sulfanylpropanoic acid
1454,4544655.png,3-(4-methoxyphenyl)propanoate
1455,4552728.png,"2-(3,4-dichlorophenyl)-2-methoxyacetic acid"
1456,4592697.png,2-oxo-3-phenylpropanoate
1457,4613139.png,2-methyl-3-(4-methylphenyl)propanoic acid
1458,4618793.png,4-(4-sulfanylphenyl)butanoic acid
1459,4631015.png,2-fluoro-3-(4-hydroxyphenyl)prop-2-enoic acid
1460,4680108.png,3-(4-chloro-3-fluorophenyl)propanoic acid
1461,4693933.png,2-(4-hydroxyphenyl)acetate
1462,4713222.png,2-oxo-2-(4-sulfanylanilino)acetic acid
1463,4715297.png,"3-(2,3-dimethylphenyl)prop-2-enoic acid"
1464,4739915.png,2-(4-methylphenoxy)acetate
1465,4740700.png,3-phenylpropanoate
1466,4747035.png,3-(3-methylphenyl)-2-sulfanylpropanoate
1467,4771841.png,"5,7-dichloro-1-benzofuran-2-carboxylic acid"
1468,4775165.png,"2-(3,5-dichloroanilino)-2-oxoacetic acid"
1469,4862460.png,"2-(2,4-difluoroanilino)-2-oxoacetic acid"
1470,4961775.png,2-(4-methylphenyl)sulfanylpropanoic acid
1471,4961821.png,3-(5-methylthiophen-2-yl)prop-2-enoic acid
1472,4962137.png,"2-[(5-methyl-1,2-oxazol-3-yl)oxy]acetic acid"
1473,4962375.png,2-(4-chloroanilino)-2-oxoacetic acid
1474,4962439.png,6-fluoro-1-benzothiophene-2-carboxylic acid
1475,4962725.png,"2-(2,5-difluorophenyl)sulfanylacetic acid"
1476,4968088.png,"3-(3,4-dimethylphenyl)-2-sulfanylpropanoic acid"
1477,4986395.png,"3-(2,4-difluorophenyl)propanoic acid"
1478,4997170.png,3-(4-sulfanylphenyl)prop-2-enoic acid
1479,4999704.png,"5-methyl-4,5,6,7-tetrahydro-1-benzothiophene-2-carboxylic acid"
1480,5001242.png,3-(3-chloro-2-fluorophenyl)propanoic acid
1481,5048470.png,3-(4-methylphenyl)propanoate
1482,5142653.png,"3-(1,3-dimethylpyrazol-4-yl)prop-2-enoic acid"
1483,5165007.png,"2-(3,4-dichloroanilino)-2-oxoacetic acid"
1484,5237641.png,3-(4-methoxy-3-methylphenyl)propanoic acid
1485,5281795.png,(E)-3-(4-hydroxyphenyl)pent-2-enedioic acid
